,index,X,Y,Z,polarity,formation,azimuth,dip
0,44918,208845.0,382549.0,2325.653931,1,NSG,0,0
1,32,204205.31197371986,376714.76262931677,3000.0,1,Tegelen,40,64
2,21,209378.23859986078,380940.0747070015,3000.0,1,Dulkener,40,64
3,78839,204895.0,388599.0,2102.451477,1,Namurian,0,0
4,14,203767.9553062364,394236.0138811314,2423.6902083574523,1,NSG,0,0
5,30,177112.73074132673,427980.46834085457,2389.183297714907,1,NSG,0,0
6,41,207886.51932350715,386727.5276077501,2277.5232206491573,1,NSG,0,0
7,78558,204845.0,388549.0,2317.143555,1,NSG,0,0
8,78478,200845.0,388549.0,2354.516968,1,NSG,0,0
9,14,205484.11123619485,370304.6787166792,3000.0,1,Belfeld,40,64
10,10,211584.27987139332,377570.9517653524,3000.0,1,Dulkener,40,64
11,22599,202895.0,378599.0,2186.033936,1,Mesozoic,0,0
12,37,175194.8885564371,426018.0007764567,2433.940150726043,1,NSG,0,0
13,34,203066.94653646898,374233.00093444344,1502.0081543014471,1,Namurian,0,0
14,45199,208895.0,382599.0,2081.952576,1,Namurian,0,0
15,12,211186.38657217255,378404.61446500116,3000.0,1,Dulkener,40,64
16,23,209543.05818947463,381468.9750043991,2234.157165435206,1,Namurian,0,0
17,42,214398.96495353014,380980.5552018699,2196.7509808056257,1,NSG,0,0
18,7,193001.11441919208,391832.47078426974,3000.0,1,Tegelen,40,64
19,18,213279.50540525443,386415.1300064004,2173.73021461179,1,Namurian,0,0
20,239,208895.0,374599.0,1947.043701,1,Namurian,0,0
21,45159,206895.0,382599.0,2243.388184,1,Namurian,0,0
22,41,200567.39901887765,391175.59450116346,3000.0,1,Dulkener,40,64
23,8,206546.64373268356,384314.3969604938,2166.832100821276,1,Namurian,0,0
24,6,204513.85255180445,378973.8267960092,1826.525365154137,1,Namurian,0,0
25,11,199554.74395681854,382211.1092561168,1435.1718531452793,1,Namurian,0,0
26,79,200895.0,374599.0,2224.816956,1,Mesozoic,0,0
27,19,210064.83768611174,380285.2240706007,3000.0,1,Dulkener,40,64
28,0,204384.07565160695,379018.9086204194,1942.63958651496,1,Namurian,0,0
29,38,214550.83757085807,380958.5054055099,1985.5739626357258,1,Namurian,0,0
30,56038,202845.0,384549.0,2303.6546630000003,1,NSG,0,0
31,22478,210845.0,378549.0,2309.3859860000002,1,NSG,0,0
32,11399,204895.0,376599.0,1711.548584,1,Namurian,0,0
33,48,198191.77447857748,381843.4615760416,2410.4760458502255,1,NSG,0,0
34,40,206170.9272902785,370940.31874572765,3000.0,1,Tegelen,40,64
35,34,204561.28242484631,375522.78448436584,3000.0,1,Tegelen,40,64
36,52,206310.788863579,384239.57959098095,2393.5685050375055,1,NSG,0,0
37,33638,206845.0,380549.0,2336.80188,1,NSG,0,0
38,11,211347.43456628476,378006.73643001635,3000.0,1,Dulkener,40,64
39,33919,206895.0,380599.0,2100.062073,1,Mesozoic,0,0
40,11319,200895.0,376599.0,1694.622803,1,Namurian,0,0
41,78679,196895.0,388599.0,2182.17926,1,Mesozoic,0,0
42,31,212012.76558259432,378287.62276675296,1909.9282011579887,1,Namurian,0,0
43,1,189496.80770336895,396194.6579060909,3000.0,1,Tegelen,40,64
44,13,203643.66677008453,394442.8485743683,2331.114525668119,1,NSG,0,0
45,19,199133.7746072213,385276.2378699528,3000.0,1,Tegelen,40,64
46,78799,202895.0,388599.0,2136.226318,1,Namurian,0,0
47,199,206895.0,374599.0,2152.237305,1,Mesozoic,0,0
48,24,201494.65719018655,382746.1061237692,2309.381819670927,1,NSG,0,0
49,46,207448.85101901222,368795.1524451866,3000.0,1,Tegelen,40,64
50,39,205961.75331034343,371388.57213216415,3000.0,1,Tegelen,40,64
51,16,210719.08700328553,379631.99915316585,3000.0,1,Dulkener,40,64
52,78638,208845.0,388549.0,2331.407654,1,NSG,0,0
53,13,205395.71071060022,370453.98516554455,3000.0,1,Belfeld,40,64
54,67479,198895.0,386599.0,2091.119141,1,Mesozoic,0,0
55,38,205898.14778506916,371553.17386211996,3000.0,1,Tegelen,40,64
56,11439,206895.0,376599.0,1907.144653,1,Namurian,0,0
57,44999,198895.0,382599.0,1526.634644,1,Namurian,0,0
58,13,198285.66136152414,381868.57514083065,2196.9602050216763,1,Mesozoic,0,0
59,6,201107.35589414393,377306.1752161186,3000.0,1,Belfeld,40,64
60,21,200155.51341597294,384007.0088694378,3000.0,1,Tegelen,40,64
61,67519,200895.0,386599.0,1839.228882,1,Namurian,0,0
62,5,212813.69398418843,375862.7823820936,3000.0,1,Dulkener,40,64
63,56439,208895.0,384599.0,1956.111328,1,Namurian,0,0
64,47,200059.54682574252,382204.1686705534,2398.921006637374,1,NSG,0,0
65,46,200158.42472112097,382180.51087873784,2415.9797424185804,1,NSG,0,0
66,33839,202895.0,380599.0,1822.391968,1,Namurian,0,0
67,56199,196895.0,384599.0,2185.543091,1,Mesozoic,0,0
68,78879,206895.0,388599.0,1870.272705,1,Namurian,0,0
69,26,215009.31286537548,380891.9411554294,2664.7667495325245,1,Namurian,0,0
70,67479,198895.0,386599.0,1653.545776,1,Namurian,0,0
71,19,204380.09241083838,378688.2615365602,2181.930811245486,1,Mesozoic,0,0
72,17,210570.0236749105,379805.9069520005,3000.0,1,Dulkener,40,64
73,9,213049.80989129312,386343.90134885337,1838.9917256192582,1,Namurian,0,0
74,33799,200895.0,380599.0,1729.104004,1,Namurian,0,0
75,55958,198845.0,384549.0,2381.1828610000002,1,NSG,0,0
76,9,203203.32096365362,376843.6058262723,2376.8080362359606,1,NSG,0,0
77,78759,200895.0,388599.0,2088.555847,1,Mesozoic,0,0
78,13,196095.71658060784,388241.94722643914,3000.0,1,Tegelen,40,64
79,45199,208895.0,382599.0,2106.6059569999998,1,Mesozoic,0,0
80,40,207797.71487686515,386898.53849288204,2123.934556792482,1,Namurian,0,0
81,8,207594.43384404696,383482.4631160089,2321.6666867814297,1,NSG,0,0
82,56118,206845.0,384549.0,2289.840698,1,NSG,0,0
83,2,204847.6710139935,386237.98045369383,2380.1370600064165,1,NSG,0,0
84,33759,198895.0,380599.0,2175.406128,1,Mesozoic,0,0
85,22559,200895.0,378599.0,2206.497742,1,Mesozoic,0,0
86,67318,204845.0,386549.0,2297.5734860000002,1,NSG,0,0
87,78759,200895.0,388599.0,1961.086304,1,Namurian,0,0
88,11,204540.87497030618,371872.6940606993,3000.0,1,Belfeld,40,64
89,21,199527.80659609204,382296.1788142038,1457.9344626656414,1,Namurian,0,0
90,30,211928.99524216456,378486.722866282,1875.6049919430204,1,Namurian,0,0
91,45079,202895.0,382599.0,1803.265625,1,Namurian,0,0
92,11,195964.57552951397,388414.635761003,3000.0,1,Tegelen,40,64
93,17,214820.81904578255,386878.3668923457,2616.6871612339773,1,NSG,0,0
94,39,198895.0,374599.0,2240.352844,1,Mesozoic,0,0
95,56479,210895.0,384599.0,1796.685547,1,Namurian,0,0
96,20,194244.2642519053,380791.92271430476,2146.464526378726,1,Mesozoic,0,0
97,22358,204845.0,378549.0,2325.290588,1,NSG,0,0
98,56198,210845.0,384549.0,2302.271667,1,NSG,0,0
99,34,203352.84856324346,387753.7556952011,3000.0,1,Dulkener,40,64
